Country/Region,Cumulative number of case(s),Number of new cases since last WHO update,Number of deaths,Number recovered,Local chain(s) of transmission
Brazil,2,0,0,0,None
Canada,103,3,13,37,Yes
China,1432,14,64,1094,Yes
"China, Hong Kong Special Administrative Region 5",1268,36,61,257,Yes
"China, Taiwan",27,4,0,10,Yes
France,5,0,0,1,None
Germany,6,0,0,4,None
Indonesia,1,0,0,0,None
Italy,3,0,0,2,None
Japan,1,0,0,0,None
Kuwait,1,0,0,0,None
Malaysia,5,1,1,0,None
Philippines,1,0,0,1,None
Republic of Ireland,1,0,0,1,None
Romania,1,0,0,1,None
Singapore,162,0,13,85,Yes
South Africa,1,0,0,0,None
Spain,1,0,0,0,None
Sweden,1,0,0,0,None
Switzerland,1,0,0,1,None
Thailand,8,0,2,5,None
United Kingdom,6,0,0,3,Yes
United States,193,0,0,NaN,Yes
Viet Nam,63,0,5,46,Yes
Total,3293,58,159,1548,
