Country/Region,Cumulative number of case(s),Number of new cases since last WHO update,Number of deaths,Number recovered,Local chain(s) of transmission
Brazil,2,0,0,0,None
Canada,100,0,13,27,Yes
China,1418,0,64,1088,Yes
"China, Hong Kong Special Administrative Region 5",1232,42,56,243,Yes
"China, Taiwan",23,0,0,7,Yes
France,5,0,0,1,None
Germany,6,0,0,4,None
Indonesia,1,0,0,0,None
Italy,3,0,0,2,None
Japan,1,1,0,0,None
Kuwait,1,0,0,0,None
Malaysia,4,0,1,0,None
Philippines,1,0,0,1,None
Republic of Ireland,1,0,0,1,None
Romania,1,0,0,1,None
Singapore,162,4,13,85,Yes
South Africa,1,0,0,0,None
Spain,1,0,0,0,None
Sweden,1,0,0,0,None
Switzerland,1,0,0,1,None
Thailand,8,0,2,5,None
United Kingdom,6,0,0,3,Yes
United States,193,19,0,NaN,Yes
Viet Nam,63,0,5,46,Yes
Total,3235,66,154,1515,
